Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZMOLP	2025-02-27 19:15:00.000	2025-02-27 19:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227181500.trn
OAZISDB	OAZP	2025-02-27 19:15:00.000	2025-02-27 19:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227181500.trn
OAZISDB	OAZMOLP	2025-02-27 19:30:01.000	2025-02-27 19:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227183001.trn
OAZISDB	OAZP	2025-02-27 19:30:01.000	2025-02-27 19:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227183001.trn
OAZISDB	master	2025-02-27 19:30:02.000	2025-02-27 19:30:03.000	OAZISDB	NT AUTHORITY\SYSTEM	D	K:\Backup\System\master_backup_2025_02_27_193002_5320226.bak
OAZISDB	model	2025-02-27 19:30:03.000	2025-02-27 19:30:03.000	OAZISDB	NT AUTHORITY\SYSTEM	D	K:\Backup\System\model_backup_2025_02_27_193002_5320226.bak
OAZISDB	msdb	2025-02-27 19:30:03.000	2025-02-27 19:30:03.000	OAZISDB	NT AUTHORITY\SYSTEM	D	K:\Backup\System\msdb_backup_2025_02_27_193002_5476422.bak
OAZISDB	OAZMOLP	2025-02-27 19:45:01.000	2025-02-27 19:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227184500.trn
OAZISDB	OAZP	2025-02-27 19:45:01.000	2025-02-27 19:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227184500.trn
OAZISDB	OAZMOLP	2025-02-27 20:00:01.000	2025-02-27 20:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227190001.trn
OAZISDB	OAZP	2025-02-27 20:00:01.000	2025-02-27 20:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227190001.trn
OAZISDB	OAZMOLP	2025-02-27 20:15:01.000	2025-02-27 20:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227191501.trn
OAZISDB	OAZP	2025-02-27 20:15:01.000	2025-02-27 20:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227191501.trn
OAZISDB	OAZMOLP	2025-02-27 20:30:02.000	2025-02-27 20:30:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227193002.trn
OAZISDB	OAZP	2025-02-27 20:30:02.000	2025-02-27 20:30:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227193002.trn
OAZISDB	OAZMOLP	2025-02-27 20:45:01.000	2025-02-27 20:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227194501.trn
OAZISDB	OAZP	2025-02-27 20:45:01.000	2025-02-27 20:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227194501.trn
OAZISDB	OAZP	2025-02-27 20:00:03.000	2025-02-27 20:46:34.000	OAZISDB	NT AUTHORITY\SYSTEM	D	K:\Backup\Full\OAZP_backup_2025_02_27_200002_9484009.bak
OAZISDB	OAZMOLP	2025-02-27 20:50:01.000	2025-02-27 20:50:06.000	OAZISDB	NT AUTHORITY\SYSTEM	D	K:\Backup\Full\OAZMOLP_backup_2025_02_27_205001_5706481.bak
OAZISDB	OAZMOLP	2025-02-27 21:00:01.000	2025-02-27 21:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227200001.trn
OAZISDB	OAZP	2025-02-27 21:00:01.000	2025-02-27 21:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227200001.trn
OAZISDB	OAZMOLP	2025-02-27 21:15:00.000	2025-02-27 21:15:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227201500.trn
OAZISDB	OAZP	2025-02-27 21:15:00.000	2025-02-27 21:15:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227201500.trn
OAZISDB	OAZMOLP	2025-02-27 21:30:01.000	2025-02-27 21:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227203001.trn
OAZISDB	OAZP	2025-02-27 21:30:01.000	2025-02-27 21:30:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227203001.trn
OAZISDB	OAZMOLP	2025-02-27 21:45:01.000	2025-02-27 21:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227204501.trn
OAZISDB	OAZP	2025-02-27 21:45:01.000	2025-02-27 21:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227204501.trn
OAZISDB	OAZMOLP	2025-02-27 22:00:01.000	2025-02-27 22:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227210001.trn
OAZISDB	OAZP	2025-02-27 22:00:01.000	2025-02-27 22:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227210001.trn
OAZISDB	OAZMOLP	2025-02-27 22:15:01.000	2025-02-27 22:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227211501.trn
OAZISDB	OAZP	2025-02-27 22:15:01.000	2025-02-27 22:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227211501.trn
OAZISDB	OAZMOLP	2025-02-27 22:30:01.000	2025-02-27 22:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227213001.trn
OAZISDB	OAZP	2025-02-27 22:30:01.000	2025-02-27 22:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227213001.trn
OAZISDB	OAZMOLP	2025-02-27 22:45:01.000	2025-02-27 22:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227214501.trn
OAZISDB	OAZP	2025-02-27 22:45:01.000	2025-02-27 22:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227214501.trn
OAZISDB	OAZMOLP	2025-02-27 23:00:01.000	2025-02-27 23:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227220001.trn
OAZISDB	OAZP	2025-02-27 23:00:01.000	2025-02-27 23:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227220001.trn
OAZISDB	OAZMOLP	2025-02-27 23:15:01.000	2025-02-27 23:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227221501.trn
OAZISDB	OAZP	2025-02-27 23:15:01.000	2025-02-27 23:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227221501.trn
OAZISDB	OAZMOLP	2025-02-27 23:30:01.000	2025-02-27 23:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227223001.trn
OAZISDB	OAZP	2025-02-27 23:30:01.000	2025-02-27 23:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227223001.trn
OAZISDB	OAZMOLP	2025-02-27 23:45:01.000	2025-02-27 23:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227224501.trn
OAZISDB	OAZP	2025-02-27 23:45:01.000	2025-02-27 23:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227224501.trn
OAZISDB	OAZMOLP	2025-02-28 00:00:01.000	2025-02-28 00:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227230001.trn
OAZISDB	OAZP	2025-02-28 00:00:01.000	2025-02-28 00:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227230001.trn
OAZISDB	OAZMOLP	2025-02-28 00:15:01.000	2025-02-28 00:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227231501.trn
OAZISDB	OAZP	2025-02-28 00:15:01.000	2025-02-28 00:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227231501.trn
OAZISDB	OAZMOLP	2025-02-28 00:30:00.000	2025-02-28 00:30:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227233000.trn
