Server Name	server_name	database_name	recovery_model	BackupType	name	description	bkSize	TimeTaken	backup_start_date
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 13:00:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	84 MB	0 Seconds	2025-03-07 13:00:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 12:45:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	122 MB	1 Seconds	2025-03-07 12:45:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 12:30:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	114 MB	0 Seconds	2025-03-07 12:30:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 12:15:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	111 MB	0 Seconds	2025-03-07 12:15:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 12:00:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	141 MB	1 Seconds	2025-03-07 12:00:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 11:45:01.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	160 MB	1 Seconds	2025-03-07 11:45:01.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 11:30:00.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	132 MB	1 Seconds	2025-03-07 11:30:00.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	0 MB	0 Seconds	2025-03-07 11:15:00.000
OAZISDB	OAZISDB	OAZP	FULL	Transaction Log	NULL	NULL	96 MB	1 Seconds	2025-03-07 11:15:00.000
OAZISDB	OAZISDB	OAZMOLP	FULL	Transaction Log	NULL	NULL	1 MB	0 Seconds	2025-03-07 11:00:00.000
