Server Name	Instance	Database	State	Recovery Model	CopyOnly	Last Full	Time Since Last Full (in Days)	Full Backup Size	Last Differential	Time Since Last Differential (in Days)	Differential Backup Size	Last Transaction Log	Time Since Last Transaction Log (in Minutes)	Transaction Log Backup Size
OAZISDB	OAZISDB	master	ONLINE	SIMPLE	0	2025-03-06 19:30:02.000	1	0,0047	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	master	ONLINE	SIMPLE	1	2025-03-07 00:12:21.000	0	0,0047	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	model	ONLINE	FULL	0	2025-03-06 19:30:02.000	1	0,0029	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	model	ONLINE	FULL	1	2025-03-07 00:12:21.000	0	0,0418	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	msdb	ONLINE	SIMPLE	0	2025-03-06 19:30:03.000	1	0,0323	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	msdb	ONLINE	SIMPLE	1	2025-03-07 00:12:21.000	0	0,0316	NULL	NULL	NULL	NULL	NULL	NULL
OAZISDB	OAZISDB	OAZMOLP	ONLINE	FULL	0	2025-03-06 20:50:06.000	1	2,5910	NULL	NULL	NULL	2025-03-07 13:00:01.000	7	0,0004
OAZISDB	OAZISDB	OAZMOLP	ONLINE	FULL	1	2025-03-07 00:12:21.000	0	2,5903	NULL	NULL	NULL	2025-03-07 13:00:01.000	7	0,0004
OAZISDB	OAZISDB	OAZP	ONLINE	FULL	0	2025-03-06 20:45:55.000	1	1473,8378	NULL	NULL	NULL	2025-03-07 13:00:01.000	7	0,0784
OAZISDB	OAZISDB	OAZP	ONLINE	FULL	1	2025-03-07 00:12:21.000	0	1474,0295	NULL	NULL	NULL	2025-03-07 13:00:01.000	7	0,0784
OAZISDB	OAZISDB	DbaUtility	ONLINE	FULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SQLCLU-02	SQLCLU-02	master	ONLINE	SIMPLE	0	2025-03-06 20:00:02.000	1	0,0045	NULL	NULL	NULL	NULL	NULL	NULL
SQLCLU-02	SQLCLU-02	model	ONLINE	FULL	0	2025-03-06 20:00:03.000	1	0,0040	NULL	NULL	NULL	NULL	NULL	NULL
SQLCLU-02	SQLCLU-02	msdb	ONLINE	SIMPLE	0	2025-03-06 20:00:04.000	1	0,0509	NULL	NULL	NULL	NULL	NULL	NULL
SQLCLU-02	SQLCLU-02	HiX_AUDITLOG	ONLINE	FULL	0	2025-02-24 22:05:40.000	11	155,1261	NULL	NULL	NULL	NULL	NULL	NULL
SQLCLU-02	SQLCLU-02	AG_HIX_msdb	ONLINE	FULL	0	2025-02-24 22:00:04.000	11	0,1717	NULL	NULL	NULL	2025-02-10 12:30:01.000	36037	0,0001
SQLCLU-02	SQLCLU-02	HiX_ENVSETTINGS	ONLINE	FULL	0	2025-02-24 22:08:49.000	11	0,0059	NULL	NULL	NULL	2025-02-10 12:30:02.000	36037	0,0001
SQLCLU-02	SQLCLU-02	DbaUtility	ONLINE	SIMPLE	0	2025-03-06 22:00:01.000	1	0,0870	2025-02-05 20:00:02.000	30	0,0753	NULL	NULL	NULL
