Server Name	Priority	FindingsGroup	Finding	DatabaseName	URL	Details	QueryPlan	QueryPlanFiltered	CheckID
OAZISDB	0	sp_Blitz Dec 28 2024 12:00AM	SQL Server First Responder Kit	NULL	http://FirstResponderKit.org/	To get help or add your own contributions, join us at http://FirstResponderKit.org.	NULL	NULL	-1
OAZISDB	1	Backup	Backups Not Performed Recently	DbaUtility	https://www.brentozar.com/go/nobak	Last backed up: never	NULL	NULL	1
OAZISDB	1	Backup	Full Recovery Model w/o Log Backups	DbaUtility	https://www.brentozar.com/go/biglogs	The 128.00MB log file has not been backed up in the last week.	NULL	NULL	2
OAZISDB	1	Security	Dangerous Service Account	NULL	https://vladdba.com/SQLServerSvcAccount	SQL Server Agent's service account is LocalSystem - meaning that anyone who can create and run jobs can do absolutely anything on the host.	NULL	NULL	259
OAZISDB	50	Performance	Recovery Interval Not Optimal	OAZMOLP	https://sqlperformance.com/2020/05/system-configuration/0-to-60-switching-to-indirect-checkpoints	The database [OAZMOLP] has a target recovery interval of 0, which is a legacy default, and should be changed to 60.	NULL	NULL	257
OAZISDB	50	Performance	Recovery Interval Not Optimal	OAZP	https://sqlperformance.com/2020/05/system-configuration/0-to-60-switching-to-indirect-checkpoints	The database [OAZP] has a target recovery interval of 0, which is a legacy default, and should be changed to 60.	NULL	NULL	257
OAZISDB	100	Performance	Many Plans for One Query	NULL	https://www.brentozar.com/go/parameterization	18101 plans are present for a single query in the plan cache - meaning we probably have parameterization issues.	NULL	NULL	160
OAZISDB	110	Performance	Auto-Create Stats Disabled	OAZMOLP	https://www.brentozar.com/go/acs	Database [OAZMOLP] has auto-create-stats disabled.  SQL Server uses statistics to build better execution plans, and without the ability to automatically create more, performance may suffer.	NULL	NULL	15
OAZISDB	110	Performance	Auto-Create Stats Disabled	OAZP	https://www.brentozar.com/go/acs	Database [OAZP] has auto-create-stats disabled.  SQL Server uses statistics to build better execution plans, and without the ability to automatically create more, performance may suffer.	NULL	NULL	15
OAZISDB	170	File Configuration	TempDB Unevenly Sized Data Files	tempdb	https://www.brentozar.com/go/tempdb	TempDB data files are not configured with the same size.  Unevenly sized tempdb data files will result in unevenly sized workloads.	NULL	NULL	183
OAZISDB	170	Reliability	Remote DAC Disabled	NULL	https://www.brentozar.com/go/dac	Remote access to the Dedicated Admin Connection (DAC) is not enabled. The DAC can make remote troubleshooting much easier when SQL Server is unresponsive.	NULL	NULL	100
OAZISDB	200	Informational	Agent Jobs Starting Simultaneously	NULL	https://www.brentozar.com/go/busyagent/	Multiple SQL Server Agent jobs are configured to start simultaneously. For detailed schedule listings, see the query in the URL.	NULL	NULL	123
OAZISDB	200	Informational	Collation is SQL_Latin1_General_CP1_CI_AS	OAZMOLP	https://www.brentozar.com/go/collate	Collation differences between user databases and tempdb can cause conflicts especially when comparing string values	NULL	NULL	76
OAZISDB	200	Informational	Collation is SQL_Latin1_General_CP1_CI_AS	OAZP	https://www.brentozar.com/go/collate	Collation differences between user databases and tempdb can cause conflicts especially when comparing string values	NULL	NULL	76
OAZISDB	200	Informational	Tables in the MSDB Database	msdb	https://www.brentozar.com/go/msdbuser	The arcJobTriggers00 table in the msdb database was created by end users on Feb  3 2024 10:34AM. Tables in the msdb database may not be restored in the event of a disaster.	NULL	NULL	28
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job DatabaseBackup - SYSTEM_DATABASES - FULL has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job DatabaseBackup - USER_DATABASES - DIFF has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job DatabaseBackup - USER_DATABASES - FULL has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job DatabaseBackup - USER_DATABASES - LOG has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job IndexOptimize - USER_DATABASES has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job LSAlert_OAZISDB has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job Route REVA has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Agent Jobs Without Failure Emails	NULL	https://www.brentozar.com/go/alerts	The job Vrijgeven 1957 ECS20 has not been set up to notify an operator if it fails.	NULL	NULL	94
OAZISDB	200	Monitoring	Alerts Configured without Follow Up	NULL	https://www.brentozar.com/go/alert	SQL Server Agent alerts have been configured but they either do not notify anyone or else they do not take any action.  This is a free, easy way to get notified of corruption, job failures, or major outages even before monitoring systems pick it up.	NULL	NULL	59
OAZISDB	200	Monitoring	No Alerts for Corruption	NULL	https://www.brentozar.com/go/alert	SQL Server Agent alerts do not exist for errors 823, 824, and 825.  These three errors can give you notification about early hardware failure. Enabling them can prevent you a lot of heartbreak.	NULL	NULL	96
OAZISDB	200	Monitoring	No Alerts for Sev 19-25	NULL	https://www.brentozar.com/go/alert	SQL Server Agent alerts do not exist for severity levels 19 through 25.  These are some very severe SQL Server errors. Knowing that these are happening may let you recover from errors faster.	NULL	NULL	61
OAZISDB	200	Monitoring	Not All Alerts Configured	NULL	https://www.brentozar.com/go/alert	Not all SQL Server Agent alerts have been configured.  This is a free, easy way to get notified of corruption, job failures, or major outages even before monitoring systems pick it up.	NULL	NULL	30
OAZISDB	200	Non-Default Server Config	Agent XPs	NULL	https://www.brentozar.com/go/conf	This sp_configure option has been changed.  Its default value is 0 and it has been set to 1.	NULL	NULL	1071
OAZISDB	200	Non-Default Server Config	backup compression default	NULL	https://www.brentozar.com/go/conf	This sp_configure option has been changed.  Its default value is 0 and it has been set to 1.	NULL	NULL	1073
OAZISDB	200	Non-Default Server Config	Database Mail XPs	NULL	https://www.brentozar.com/go/conf	This sp_configure option has been changed.  Its default value is 0 and it has been set to 1.	NULL	NULL	1072
OAZISDB	200	Non-Default Server Config	max server memory (MB)	NULL	https://www.brentozar.com/go/conf	This sp_configure option has been changed.  Its default value is 2147483647 and it has been set to 57344.	NULL	NULL	1031
OAZISDB	200	Non-Default Server Config	min server memory (MB)	NULL	https://www.brentozar.com/go/conf	This sp_configure option has been changed.  Its default value is 0 and it has been set to 10240.	NULL	NULL	1036
OAZISDB	200	Performance	cost threshold for parallelism	NULL	https://www.brentozar.com/go/cxpacket	Set to 5, its default value. Changing this sp_configure setting may reduce CXPACKET waits.	NULL	NULL	188
OAZISDB	200	Performance	Snapshot Backups Occurring	NULL	https://www.brentozar.com/go/snaps	8 snapshot-looking backups have occurred in the last two weeks, indicating that IO may be freezing up.	NULL	NULL	178
OAZISDB	210	Non-Default Database Config	Delayed Durability Enabled	OAZMOLP	https://www.brentozar.com/go/dbdefaults	This database setting is not the default.	NULL	NULL	143
OAZISDB	210	Non-Default Database Config	Delayed Durability Enabled	OAZP	https://www.brentozar.com/go/dbdefaults	This database setting is not the default.	NULL	NULL	143
OAZISDB	210	Non-Default Database Config	Read Committed Snapshot Isolation Enabled	OAZMOLP	https://www.brentozar.com/go/dbdefaults	This database setting is not the default.	NULL	NULL	133
OAZISDB	210	Non-Default Database Config	Read Committed Snapshot Isolation Enabled	OAZP	https://www.brentozar.com/go/dbdefaults	This database setting is not the default.	NULL	NULL	133
OAZISDB	230	Security	Database Owner <> sa	OAZMOLP	https://www.brentozar.com/go/owndb	Database name: OAZMOLP   Owner name: AZSTDIMPNA\operator	NULL	NULL	55
OAZISDB	230	Security	Database Owner <> sa	OAZP	https://www.brentozar.com/go/owndb	Database name: OAZP   Owner name: AZSTDIMPNA\operator	NULL	NULL	55
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [Aanpassen doc_inv] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [ADT-A08 Ext Verblijf] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [Delete UREG GEEL + MOL] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [GET_PRES_IHC] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [IndexOptimize] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [Route REVA] is owned by [AZSTDIMPNA\karlh] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [Update adres Boonen PID 0047489] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Jobs Owned By Users	NULL	https://www.brentozar.com/go/owners	Job [Vrijgeven 1957 ECS20] is owned by [AZSTDIMPNA\ServerAdmin] - meaning if their login is disabled or not available due to Active Directory problems, the job will stop working.	NULL	NULL	6
OAZISDB	230	Security	Sysadmins	NULL	https://www.brentozar.com/go/sa	Login [AZSTDIMPNA\acc] is a sysadmin - meaning they can do absolutely anything in SQL Server, including dropping databases or hiding their tracks.	NULL	NULL	4
