Server Name	InstanceName	JobName	Enabled	ScheduleName	FreqRecurrenceFactor	Frequency	Days	Time
SQLCLU-01	MSSQLSERVER	AXIANS_FileGroupBackup_DIFF	1	AXIANS Backup Daily DIFF	1	Weekly	SundayMondayTuesdayWednesdayThursdayFriday	 starting at 21:30:00
SQLCLU-01	MSSQLSERVER	AXIANS_FileGroupBackup_FULL	1	AXIANS Backup Weekly FULL	1	Weekly	SundaySaturday	 starting at 21:30:00
SQLCLU-01	MSSQLSERVER	CommandLog Cleanup	1	Schedule CommandLog Cleanup	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	DatabaseBackup - HiX_PROD_MM - LOG	1	Schedule DatabaseBackup - USER_DATABASES - LOG	0	Daily	Every 1 day(s)	 every 15 minutes starting at 00:00:00
SQLCLU-01	MSSQLSERVER	DatabaseBackup - SYSTEM_DATABASES - FULL	1	Schedule DatabaseBackup - SYSTEM_DATABASES - FULL	0	Daily	Every 1 day(s)	 starting at 20:00:00
SQLCLU-01	MSSQLSERVER	DatabaseBackup - USER_DATABASES - DIFF	0	Schedule DatabaseBackup - USER_DATABASES - DIFF	1	Weekly	MondayTuesdayWednesdayThursdayFridaySaturday	 starting at 20:00:00
SQLCLU-01	MSSQLSERVER	DatabaseBackup - USER_DATABASES - FULL	1	Schedule DatabaseBackup - USER_DATABASES - FULL	0	Daily	Every 1 day(s)	 starting at 22:00:00
SQLCLU-01	MSSQLSERVER	DatabaseIntegrityCheck - SYSTEM_DATABASES	1	Schedule DatabaseIntegrityCheck - SYSTEM_DATABASES	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	DO NOT USE - DatabaseIntegrityCheck - USER_DATABASES	0	Schedule DatabaseIntegrityCheck - USER_DATABASES	0	Daily	Every 1 day(s)	 starting at 02:00:00
SQLCLU-01	MSSQLSERVER	DO NOT USE - IndexOptimize - USER_DATABASES	0	Schedule IndexOptimize - USER_DATABASES	0	Daily	Every 1 day(s)	 starting at 22:00:00
SQLCLU-01	MSSQLSERVER	HIX - MaintenanceDaily	1	Dagelijks 4h05	0	Daily	Every 1 day(s)	 starting at 04:05:00
SQLCLU-01	MSSQLSERVER	HIX - MaintenanceWeekly	1	Wekelijks Zo 6u05	1	Weekly	Sunday	 starting at 06:05:00
SQLCLU-01	MSSQLSERVER	Output File Cleanup	1	Schedule Output File Cleanup	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	sp_delete_backuphistory	1	Schedule sp_delete_backuphistory	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	sp_purge_jobhistory	1	Schedule sp_purge_jobhistory	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	syspolicy_purge_history	1	Schedule syspolicy_purge_history	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-01	MSSQLSERVER	syspolicy_purge_history	1	syspolicy_purge_history_schedule	0	Daily	Every 1 day(s)	 starting at 02:00:00
SQLCLU-02	MSSQLSERVER	CommandLog Cleanup	1	Schedule CommandLog Cleanup	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-02	MSSQLSERVER	DatabaseBackup - HiX_PROD_MM - LOG	1	Schedule DatabaseBackup - USER_DATABASES - LOG	0	Daily	Every 1 day(s)	 every 15 minutes starting at 00:00:00
SQLCLU-02	MSSQLSERVER	DatabaseBackup - SYSTEM_DATABASES - FULL	1	Schedule DatabaseBackup - SYSTEM_DATABASES - FULL	0	Daily	Every 1 day(s)	 starting at 20:00:00
SQLCLU-02	MSSQLSERVER	DatabaseBackup - USER_DATABASES - DIFF	0	Schedule DatabaseBackup - USER_DATABASES - DIFF	1	Weekly	MondayTuesdayWednesdayThursdayFridaySaturday	 starting at 20:00:00
SQLCLU-02	MSSQLSERVER	DatabaseBackup - USER_DATABASES - FULL	1	Schedule DatabaseBackup - USER_DATABASES - FULL	0	Daily	Every 1 day(s)	 starting at 22:00:00
SQLCLU-02	MSSQLSERVER	DatabaseIntegrityCheck - SYSTEM_DATABASES	1	Schedule DatabaseIntegrityCheck - SYSTEM_DATABASES	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-02	MSSQLSERVER	DO NOT USE -  DatabaseIntegrityCheck - USER_DATABASES	0	Schedule DatabaseIntegrityCheck - USER_DATABASES	0	Daily	Every 1 day(s)	 starting at 02:00:00
SQLCLU-02	MSSQLSERVER	DO NOT USE -  IndexOptimize - USER_DATABASES	0	Schedule IndexOptimize - USER_DATABASES	0	Daily	Every 1 day(s)	 starting at 22:00:00
SQLCLU-02	MSSQLSERVER	HIX - MaintenanceDaily	1	Dagelijks 4h05	0	Daily	Every 1 day(s)	 starting at 04:05:00
SQLCLU-02	MSSQLSERVER	HIX - MaintenanceWeekly	1	Wekelijks Zo 6u05	1	Weekly	Sunday	 starting at 06:05:00
SQLCLU-02	MSSQLSERVER	Output File Cleanup	1	Schedule Output File Cleanup	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-02	MSSQLSERVER	sp_delete_backuphistory	1	Schedule sp_delete_backuphistory	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-02	MSSQLSERVER	sp_purge_jobhistory	1	Schedule sp_purge_jobhistory	0	Daily	Every 1 day(s)	 starting at 00:00:00
SQLCLU-02	MSSQLSERVER	syspolicy_purge_history	1	Schedule syspolicy_purge_history	0	Daily	Every 1 day(s)	 starting at 00:00:00
